Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work
EMP1000,Bob,Davis,25,DevOps-California,Active,4/2/2021,59767.65,bob.davis@example.com,-1651623197,Average,TRUE
EMP1001,Bob,Brown,,Finance-Texas,Active,7/10/2020,65304.66,bob.brown@example.com,-1898471390,Excellent,TRUE
EMP1002,Alice,Jones,,Admin-Nevada,Pending,12/7/2023,88145.9,alice.jones@example.com,-5596363211,Good,TRUE
EMP1003,Eva,Davis,25,Admin-Nevada,Inactive,11/27/2021,69450.99,eva.davis@example.com,-3476490784,Good,TRUE
EMP1004,Frank,Williams,25,Cloud Tech-Florida,Active,1/5/2022,109324.61,frank.williams@example.com,-1586734256,Poor,FALSE
EMP1005,Alice,Garcia,40,Sales-Texas,Inactive,6/10/2020,88642.84,alice.garcia@example.com,-5409003485,Good,FALSE
EMP1006,Frank,Jones,,Admin-Nevada,Active,4/3/2020,96288.43,frank.jones@example.com,-4518376063,Good,FALSE
EMP1007,Bob,Jones,30,Cloud Tech-Florida,Inactive,7/17/2022,94497.91,bob.jones@example.com,-4134327559,Average,TRUE
EMP1008,Frank,Davis,35,Admin-Nevada,Inactive,12/8/2023,115565.82,frank.davis@example.com,-4177656123,Excellent,TRUE
EMP1009,Charlie,Johnson,,DevOps-New York,Active,8/4/2022,76561.88,charlie.johnson@example.com,-8156985699,Excellent,TRUE
EMP1010,David,Williams,35,Cloud Tech-New York,Active,7/6/2024,72081.71,david.williams@example.com,-2720634590,Average,FALSE
EMP1011,David,Davis,,DevOps-California,Active,9/4/2023,84946.19,david.davis@example.com,-1238296576,Poor,TRUE
EMP1012,Heidi,Williams,30,HR-New York,Active,3/5/2024,89295.77,heidi.williams@example.com,-2429543164,Excellent,FALSE
EMP1013,Grace,Williams,,Finance-California,Active,10/10/2020,85666.84,grace.williams@example.com,-2669300892,Good,FALSE
EMP1014,Alice,Garcia,25,Admin-Nevada,Active,6/10/2024,97633.68,alice.garcia@example.com,-1734206968,Excellent,TRUE
EMP1015,Grace,Jones,40,Sales-Florida,Pending,5/29/2021,117975.49,grace.jones@example.com,-4215291085,Good,TRUE
EMP1016,Alice,Brown,25,DevOps-Illinois,Inactive,4/23/2024,94867.33,alice.brown@example.com,-7713334475,Poor,FALSE
EMP1017,Grace,Garcia,30,Finance-Texas,Pending,11/28/2024,100377.65,grace.garcia@example.com,-2639343625,Average,TRUE
EMP1018,Charlie,Garcia,,Cloud Tech-Nevada,Inactive,9/19/2024,94726.46,charlie.garcia@example.com,-2044397358,Excellent,FALSE
EMP1019,Charlie,Williams,35,Admin-Illinois,Pending,1/2/2020,91926.12,charlie.williams@example.com,-7107256365,Average,TRUE
EMP1020,Bob,Miller,35,HR-New York,Active,5/8/2021,111460.67,bob.miller@example.com,-9411800536,Excellent,TRUE
EMP1021,Bob,Jones,40,Cloud Tech-Illinois,Active,9/19/2020,96182.56,bob.jones@example.com,-5990048963,Good,FALSE
EMP1022,Charlie,Johnson,35,Sales-Illinois,Inactive,3/9/2021,115023.94,charlie.johnson@example.com,-6528092427,Average,TRUE
